poi_id,poi_category,lat_pos,lon_pos
201,airport,-117.79972,34.10444
202,airport,-117.82361,34.49056
203,airport,-117.82583,34.58861
204,airport,-117.82944,35.65861
205,airport,-117.83167,33.69389
206,airport,-117.83694,33.67778
207,airport,-117.8375,33.69333
208,airport,-117.84611,33.67278
209,airport,-117.84833,33.91806
210,airport,-117.85,33.84806
211,airport,-117.8575,33.67056
212,airport,-117.865,33.78167
213,airport,-117.86528,33.68444
214,airport,-117.86778,33.75361
215,airport,-117.86806,33.67556
216,airport,-117.86917,34.13333
217,airport,-117.87722,33.62639
218,airport,-117.87778,33.68806
219,airport,-117.88222,33.86111
220,airport,-117.89028,33.78861
221,airport,-117.90194,33.82722
222,airport,-117.90417,33.66306
223,airport,-117.91694,33.69389
224,airport,-117.91694,33.865
225,airport,-117.9175,33.76694
226,airport,-117.92833,34.01972
227,airport,-117.92944,33.62417
228,airport,-117.93583,33.715
229,airport,-117.93694,34.00417
230,airport,-117.95917,34.02444
231,airport,-117.96417,33.87833
232,airport,-117.965,33.88083
233,airport,-117.965,34.02806
234,airport,-117.96528,34.86389
235,airport,-117.97972,33.87194
236,airport,-117.99861,36.28139
237,airport,-118,33.74528
238,airport,-118.00028,33.67778
239,airport,-118.00139,33.695
240,airport,-118.01389,35.15167
241,airport,-118.02833,33.67917
242,airport,-118.03444,33.74722
243,airport,-118.03472,34.08583
244,airport,-118.0425,34.13333
245,airport,-118.04444,33.66222
246,airport,-118.05194,36.58806
247,airport,-118.05278,34.01389
248,airport,-118.05917,34.69972
249,airport,-118.06194,33.66167
250,airport,-118.06972,33.91333
251,airport,-118.07167,34.07083
252,airport,-118.07306,33.91361
253,airport,-118.08028,35.98972
254,airport,-118.08361,33.82611
255,airport,-118.08472,33.75778
256,airport,-118.0875,33.75694
257,airport,-118.09333,33.755
258,airport,-118.09528,36.02194
259,airport,-118.10139,34.71556
260,airport,-118.11583,34.48583
261,airport,-118.1175,33.56389
262,airport,-118.11944,33.77583
263,airport,-118.12639,33.92333
264,airport,-118.12889,33.5825
265,airport,-118.13333,33.85083
266,airport,-118.14556,34.64722
267,airport,-118.14611,33.80722
268,airport,-118.14917,34.08083
269,airport,-118.15056,34.12389
270,airport,-118.15083,35.05806
271,airport,-118.15139,33.8175
272,airport,-118.15361,34.03778
273,airport,-118.15361,34.13361
274,airport,-118.16056,33.98667
275,airport,-118.16972,34.94222
276,airport,-118.17083,34.17278
277,airport,-118.17083,34.20472
278,airport,-118.17389,34.19722
279,airport,-118.18583,33.77889
280,airport,-118.18722,33.80833
281,airport,-118.19472,33.755
282,airport,-118.19944,33.76472
283,airport,-118.19944,33.77778
284,airport,-118.20167,34.05389
285,airport,-118.2025,33.93028
286,airport,-118.20472,34.65056
287,airport,-118.205,36.81361
288,airport,-118.20917,34.87056
289,airport,-118.21278,34.00083
290,airport,-118.2175,34.20417
291,airport,-118.21889,34.74083
292,airport,-118.22833,34.03972
293,airport,-118.22917,34.05444
294,airport,-118.23,34.15167
295,airport,-118.23028,34.06028
296,airport,-118.23083,35.38111
297,airport,-118.23556,34.05806
298,airport,-118.24111,34.05222
299,airport,-118.2425,34.05111
300,airport,-118.2425,34.05417
301,airport,-118.24361,33.89
302,airport,-118.24472,34.05194
303,airport,-118.24556,34.05861
304,airport,-118.24611,34.05056
305,airport,-118.24694,34.04333
306,airport,-118.24917,34.04444
307,airport,-118.25083,34.06222
308,airport,-118.25333,34.04917
309,airport,-118.25333,34.05361
310,airport,-118.25444,34.04778
311,airport,-118.25444,34.15722
312,airport,-118.25583,34.05278
313,airport,-118.25611,34.04028
314,airport,-118.25639,34.15556
315,airport,-118.25694,34.05139
316,airport,-118.25806,34.03722
317,airport,-118.25917,34.04917
318,airport,-118.25944,34.07778
319,airport,-118.26139,34.05556
320,airport,-118.26167,33.83417
321,airport,-118.2625,34.04639
322,airport,-118.26444,34.05361
323,airport,-118.265,34.05444
324,airport,-118.27167,34.04167
325,airport,-118.2725,34.06389
326,airport,-118.27472,33.74917
327,airport,-118.27583,33.73194
328,airport,-118.27722,33.85639
329,airport,-118.2775,34.79389
330,airport,-118.2825,34.10333
331,airport,-118.28306,34.69444
332,airport,-118.28472,34.1575
333,airport,-118.2875,34.43806
334,airport,-118.28806,34.28944
335,airport,-118.29028,34.09611
336,airport,-118.29028,34.09639
337,airport,-118.29111,34.06194
338,airport,-118.29222,34.06972
339,airport,-118.30167,34.90528
340,airport,-118.31056,33.73861
341,airport,-118.31194,33.33833
342,airport,-118.3125,33.85639
343,airport,-118.31278,33.90611
344,airport,-118.31278,34.50389
345,airport,-118.31611,33.34167
346,airport,-118.32889,34.15556
347,airport,-118.33139,34.15361
348,airport,-118.335,33.92278
349,airport,-118.33944,33.80333
350,airport,-118.33972,33.84361
351,airport,-118.3425,34.04694
352,airport,-118.35222,34.0625
353,airport,-118.35833,34.20056
354,airport,-118.36278,33.92222
355,airport,-118.36694,37.37444
356,airport,-118.3675,37.36556
357,airport,-118.37583,34.08333
358,airport,-118.37722,34.07389
359,airport,-118.38083,33.95333
360,airport,-118.38139,33.85278
361,airport,-118.38222,33.98
362,airport,-118.38278,33.89694
363,airport,-118.38389,34.28111
364,airport,-118.38472,33.9325
365,airport,-118.38833,33.76056
366,airport,-118.39361,33.73694
367,airport,-118.395,33.91694
368,airport,-118.39694,33.93028
369,airport,-118.39806,33.93028
370,airport,-118.40083,34.83167
371,airport,-118.40556,35.70528
372,airport,-118.40694,34.12667
373,airport,-118.40806,33.9425
374,airport,-118.4125,34.97722
375,airport,-118.41333,34.25972
376,airport,-118.41333,34.25972
377,airport,-118.41444,34.38139
378,airport,-118.41583,33.40472
379,airport,-118.4175,34.06083
380,airport,-118.41917,35.71917
381,airport,-118.41944,34.29111
382,airport,-118.41972,35.72806
383,airport,-118.42222,35.10083
384,airport,-118.42306,35.10083
385,airport,-118.42417,33.96611
386,airport,-118.42694,33.91417
387,airport,-118.4325,34.0625
388,airport,-118.43972,35.13528
389,airport,-118.44194,34.03611
390,airport,-118.4425,34.065
391,airport,-118.44361,34.05889
392,airport,-118.44472,34.04472
393,airport,-118.445,34.04778
394,airport,-118.4475,34.18333
395,airport,-118.44944,34.16
396,airport,-118.45,33.98444
397,airport,-118.45111,34.01556
398,airport,-118.4525,34.03306
399,airport,-118.45556,34.04889
400,airport,-118.46139,34.27972
401,airport,-118.46444,34.305
402,airport,-118.47611,37.20194
403,airport,-118.47667,34.56583
404,airport,-118.48306,35.39806
405,airport,-118.4875,34.96278
406,airport,-118.48972,34.20972
407,airport,-118.49056,34.13083
408,airport,-118.5,35.40694
409,airport,-118.50806,33.43222
410,airport,-118.52611,34.14167
411,airport,-118.53139,34.25694
412,airport,-118.53306,34.22
413,airport,-118.54722,34.19389
414,airport,-118.55167,34.41583
415,airport,-118.5525,34.39833
416,airport,-118.56556,34.23861
417,airport,-118.56917,34.23889
418,airport,-118.59444,34.16861
419,airport,-118.595,34.17556
420,airport,-118.59528,34.46639
421,airport,-118.59806,35.11361
422,airport,-118.59917,34.17889
423,airport,-118.59944,34.51722
424,airport,-118.62583,34.2375
425,airport,-118.64694,34.06194
426,airport,-118.68806,34.03722
427,airport,-118.69389,34.04444
428,airport,-118.69611,34.23778
429,airport,-118.69806,34.15028
430,airport,-118.71778,34.26861
431,airport,-118.73167,34.7675
432,airport,-118.80222,36.14972
433,airport,-118.8175,34.14167
434,airport,-118.83333,35.25667
435,airport,-118.83417,36.49556
436,airport,-118.83528,34.24667
437,airport,-118.83861,37.62389
438,airport,-118.84889,37.62722
439,airport,-118.85278,35.40639
440,airport,-118.85306,34.04167
441,airport,-118.855,35.17972
442,airport,-118.8675,34.08333
443,airport,-118.88222,34.2075
444,airport,-118.90861,34.19722
445,airport,-118.91444,34.98889
446,airport,-118.91611,34.19583
447,airport,-118.91778,34.15806
448,airport,-118.96889,35.38389
449,airport,-118.99583,35.32472
450,airport,-119.00611,35.39083
451,airport,-119.01972,35.38333
452,airport,-119.04556,35.26306
453,airport,-119.05,36.16222
454,airport,-119.05667,35.43333
455,airport,-119.05889,34.76083
456,airport,-119.06111,34.34694
457,airport,-119.0625,36.02944
458,airport,-119.09417,34.21361
459,airport,-119.10639,37.95806
460,airport,-119.10722,36.39861
461,airport,-119.1275,35.59639
462,airport,-119.12861,36.90611
463,airport,-119.13694,36.7175
464,airport,-119.14944,36.24278
465,airport,-119.15778,34.21667
466,airport,-119.18389,35.79278
467,airport,-119.18556,34.20556
468,airport,-119.19139,35.50583
469,airport,-119.19472,35.36778
470,airport,-119.20278,34.20222
471,airport,-119.20694,34.20056
472,airport,-119.22194,38.26333
473,airport,-119.23,35.79083
474,airport,-119.23056,38.25306
475,airport,-119.23639,35.74556
476,airport,-119.25139,37.20083
477,airport,-119.25556,37.3475
478,airport,-119.25694,34.27472
479,airport,-119.28778,38.27222
480,airport,-119.30694,35.10583
481,airport,-119.30806,35.96028
482,airport,-119.30917,36.79194
483,airport,-119.31556,36.4425
484,airport,-119.31611,36.54
485,airport,-119.31889,36.44833
486,airport,-119.32611,36.15611
487,airport,-119.35361,35.61944
488,airport,-119.37639,35.70389
489,airport,-119.39278,36.31861
490,airport,-119.40472,36.70889
491,airport,-119.41,35.05417
492,airport,-119.43583,36.76694
493,airport,-119.44111,35.14083
494,airport,-119.44861,36.66694
495,airport,-119.44972,36.66611
496,airport,-119.45083,35.13861
497,airport,-119.45167,34.93528
