user_id,rel_user_id,weight,distance
3523424.0,425822.0,0.01,0.6161639999999999
3523424.0,1028196.0,0.01,1.7676630000000009
3523424.0,1270664.0,0.01,1.163273
3523424.0,2338725.0,0.01,4.640269999999999
3523424.0,2707067.0,0.01,7.188326999999997
293.0,3689225.0,0.25,3.388104999999998
293.0,111687.0,0.01,3.237902
293.0,470167.0,0.01,2.9078040000000005
293.0,995735.0,0.01,4.765913000000001
293.0,1027187.0,0.01,5.294924
293.0,1944706.0,0.01,3.6860049999999975
3689225.0,293.0,0.25,3.3881050000000004
3689225.0,534981.0,0.01,4.937566000000003
379.0,493007.0,0.25,1.3425090000000002
379.0,423310.0,0.01,6.982794
379.0,493007.0,0.25,1.3425090000000002
379.0,3035162.0,0.01,2.862510000000001
493007.0,379.0,0.25,1.3425089999999997
493007.0,379.0,0.25,1.3425089999999997
404.0,2474457.0,0.25,5.0768629999999995
404.0,344368.0,0.01,5.898820000000003
404.0,597489.0,0.01,2.1405059999999985
404.0,807314.0,0.01,4.212463999999999
404.0,2174952.0,0.01,6.135316
2474457.0,404.0,0.05,5.076862999999996
2474457.0,389372.0,0.01,5.0612070000000005
557.0,1243720.0,0.01,1.0311289999999997
569.0,1274080.0,0.0833333333333,2.9724830000000004
1274080.0,569.0,0.01,2.972483000000001
1274080.0,3103171.0,0.25,5.7408330000000065
1274080.0,1728674.0,0.01,0.8845760000000003
629.0,1368087.0,0.25,7.699529000000001
1368087.0,629.0,0.01,7.699528999999998
1368087.0,866699.0,0.01,1.618291
1368087.0,1701474.0,0.01,8.407997
741.0,65886.0,0.25,6.599003999999993
741.0,65886.0,0.25,6.599003999999993
65886.0,741.0,0.25,6.599003999999997
65886.0,741.0,0.25,6.599003999999997
65886.0,143492.0,0.01,5.011466
780.0,4463898.0,0.013698630137,2.2007970000000006
780.0,1168643.0,0.01,8.217844999999997
4463898.0,780.0,0.01,2.2007969999999992
4463898.0,18538.0,0.01,5.945846999999995
4463898.0,19675.0,0.01,5.2391339999999955
4463898.0,142430.0,0.01,0.49178700000000003
4463898.0,340431.0,0.01,5.076556999999997
4463898.0,471021.0,0.01,0.541272
4463898.0,1961991.0,0.01,5.287211999999999
4463898.0,1083345.0,0.01,0.9271830000000001
4463898.0,4202018.0,0.01,5.211148999999995
4463898.0,2555757.0,0.01,0.209318
4463898.0,2568386.0,0.01,1.8150929999999998
4463898.0,2594701.0,0.01,2.0951180000000007
4463898.0,2862147.0,0.25,0.46838100000000005
4463898.0,2916785.0,0.01,0.35979800000000006
926.0,813961.0,0.25,6.112626999999998
813961.0,926.0,0.01,6.112626999999993
937.0,2929563.0,0.25,3.9632250000000004
2929563.0,937.0,0.01,3.963225
951.0,3778964.0,0.0740740740741,0.3945559999999999
3778964.0,951.0,0.01,0.39455599999999996
3778964.0,802137.0,0.01,0.6203079999999999
3778964.0,1656508.0,0.01,0.223344
3778964.0,1892596.0,0.01,5.6015719999999956
3778964.0,2472935.0,0.01,9.220641999999991
3778964.0,2736892.0,0.01,0.43278700000000003
952.0,4317672.0,0.0285714285714,3.6719650000000015
4317672.0,952.0,0.01,3.671964999999999
4317672.0,1568763.0,0.01,3.1660730000000017
4317672.0,453724.0,0.01,3.0229229999999974
4317672.0,2196864.0,0.01,2.664909999999999
4317672.0,2460617.0,0.01,2.911898999999999
4317672.0,2680854.0,0.01,2.806140999999999
1088.0,4054058.0,0.25,0.13621799999999998
1088.0,3760777.0,0.25,0.45327600000000007
4054058.0,1088.0,0.25,0.13621799999999998
4054058.0,52014.0,0.01,6.532100999999994
3760777.0,1088.0,0.25,0.453276
1122.0,2852275.0,0.25,7.149057000000001
1122.0,2852275.0,0.25,7.149057000000001
2852275.0,1122.0,0.25,7.149056999999995
2852275.0,1122.0,0.25,7.149056999999995
1126.0,212120.0,0.25,1.8297179999999995
212120.0,1126.0,0.01,1.8297180000000008
1129.0,1073226.0,0.25,1.4814439999999998
1129.0,697244.0,0.01,8.435983
1073226.0,1129.0,0.01,1.4814440000000006
